File  .text     Size         Crate Name
0.0%   0.1%     275B     [Unknown] read_referenced_name_from_attr
0.0%   0.1%     267B           std std::sys::unix::stack_overflow::imp::make_handler
0.0%   0.1%     266B           std core::num::flt2dec::round_up
0.0%   0.1%     266B           std rustc_demangle::v0::Printer::print_generic_arg
0.0%   0.1%     262B           std std::thread::local::LocalKey<T>::try_with
0.0%   0.1%     259B           std <backtrace::symbolize::SymbolName as core::fmt::Display>::fmt
0.0%   0.1%     256B           std std::sys::unix::os::error_string
0.0%   0.1%     256B           std std::thread::Thread::unpark
0.0%   0.1%     253B           std std::thread::local::fast::Key<T>::try_initialize
0.0%   0.1%     253B           std std::thread::local::fast::Key<T>::try_initialize
0.0%   0.1%     249B           std <&T as core::fmt::Debug>::fmt
0.0%   0.1%     247B           std std::thread::local::fast::Key<T>::try_initialize
0.0%   0.1%     243B           std std::io::stdio::set_panic
0.0%   0.1%     236B           std <&[u8] as std::ffi::c_str::CString::new::SpecIntoVec>::into_vec
0.0%   0.1%     235B           std std::ffi::c_str::<impl core::convert::From<std::ffi::c_str::NulError> for std::...
0.0%   0.1%     227B           std core::ptr::drop_in_place
0.0%   0.1%     226B           std <char as core::fmt::Display>::fmt
0.0%   0.1%     225B           std alloc::slice::<impl alloc::borrow::ToOwned for [T]>::to_owned
0.0%   0.1%     223B           std std::alloc::default_alloc_error_hook
0.0%   0.1%     220B           std <core::str::Utf8Error as core::fmt::Debug>::fmt
0.0%   0.1%     209B           std core::ptr::swap_nonoverlapping_one
0.0%   0.1%     207B     [Unknown] phdr_callback
0.0%   0.1%     206B           std rustc_demangle::v0::Printer::print_lifetime_from_index
0.0%   0.1%     206B           std core::ptr::drop_in_place
0.0%   0.1%     205B           std <std::panicking::begin_panic_handler::PanicPayload as core::panic::BoxMeUp>::get
0.0%   0.1%     204B           std <&mut W as core::fmt::Write>::write_str
0.0%   0.1%     203B           std <&mut W as core::fmt::Write>::write_char
0.0%   0.1%     200B           std core::fmt::Write::write_char
0.0%   0.1%     200B           std <std::path::PrefixComponent as core::cmp::PartialEq>::eq
0.0%   0.1%     199B           std <&mut W as core::fmt::Write>::write_char
0.0%   0.1%     199B           std <&mut W as core::fmt::Write>::write_char
0.0%   0.1%     198B          std? <std::io::Write::write_fmt::Adaptor<T> as core::fmt::Write>::write_str
0.0%   0.1%     197B          std? <std::io::Write::write_fmt::Adaptor<T> as core::fmt::Write>::write_str
0.0%   0.1%     196B           std core::fmt::Write::write_char
0.0%   0.1%     196B           std core::fmt::Write::write_char
0.0%   0.1%     180B           std __rdos_backtrace_vector_grow
0.0%   0.1%     178B           std backtrace::symbolize::libbacktrace::syminfo_cb
0.0%   0.1%     173B           std __rdos_backtrace_get_view
0.0%   0.1%     172B           std core::fmt::num::<impl core::fmt::LowerHex for i128>::fmt
0.0%   0.1%     166B           std <core::num::ParseIntError as core::fmt::Debug>::fmt
0.0%   0.1%     164B           std rust_begin_unwind
0.0%   0.1%     163B           std alloc::vec::Vec<T>::into_boxed_slice
0.0%   0.1%     161B     [Unknown] read_uint64
0.0%   0.1%     161B           std core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::...
0.0%   0.1%     160B           std backtrace::print::BacktraceFrameFmt::symbol
0.0%   0.1%     158B           std <core::char::EscapeDebug as core::iter::traits::iterator::Iterator>::next
0.0%   0.1%     158B     [Unknown] elf_syminfo
0.0%   0.1%     158B           std core::ptr::drop_in_place
0.0%   0.1%     156B           std __rust_start_panic
0.0%   0.1%     154B     [Unknown] add_function_range
0.0%   0.1%     154B     [Unknown] add_unit_addr
0.0%   0.1%     152B           std <&T as core::fmt::Debug>::fmt
0.0%   0.1%     152B           std <rustc_demangle::Demangle as core::fmt::Display>::fmt
0.0%   0.1%     152B           std alloc::sync::Arc<T>::drop_slow
0.0%   0.1%     150B           std __rdos_backtrace_create_state
0.0%   0.1%     149B           std core::fmt::num::<impl core::fmt::UpperHex for usize>::fmt
0.0%   0.1%     149B           std core::fmt::num::<impl core::fmt::LowerHex for u64>::fmt
0.0%   0.1%     147B           std __rdl_realloc
0.0%   0.1%     146B           std core::fmt::num::<impl core::fmt::UpperHex for u32>::fmt
0.0%   0.1%     146B           std core::fmt::num::<impl core::fmt::LowerHex for i32>::fmt
0.0%   0.1%     146B           std core::fmt::num::<impl core::fmt::UpperHex for u8>::fmt
0.0%   0.1%     146B           std core::fmt::num::<impl core::fmt::LowerHex for i8>::fmt
0.0%   0.1%     141B           std core::fmt::num::imp::<impl core::fmt::Display for u8>::fmt
0.0%   0.1%     139B           std core::num::<impl core::str::FromStr for u64>::from_str
0.0%   0.1%     133B           std core::option::expect_none_failed
0.0%   0.1%     131B     [Unknown] dwarf_fileline
0.0%   0.1%     129B           std <core::panic::Location as core::fmt::Display>::fmt
0.0%   0.1%     128B           std <core::ops::range::Range<Idx> as core::fmt::Debug>::fmt
0.0%   0.1%     126B           std core::result::Result<T,E>::unwrap_or
